trip_id,arrival_time,departure_time,stop_id,stop_sequence
10,07:00:00,08:00:00,1001,1
10,,,1002,2
10,,,1003,3
10,,,1004,4
10,,,1005,5
10,,,1006,6
10,,,1007,7
10,,,1008,8
10,,,1009,9
10,,,1010,10
10,,,1011,11
10,,,1012,12
10,,,1013,13
10,,,1014,14
10,,,1015,15
10,,,1016,16
10,,,1017,17
10,,,1018,18
10,,,1019,19
10,,,1020,20
10,,,1021,21
10,,,1022,22
10,,,1023,23
10,,,1024,24
10,,,1025,25
10,,,1026,26
10,,,1027,27
10,,,1028,28
10,,,1029,29
10,,,1030,30
10,,,1031,31
10,,,1032,32
10,,,1033,33
10,,,1034,34
10,,,1035,35
10,,,1036,36
10,,,1037,37
10,,,1038,38
10,,,1039,39
10,,,1040,40
10,,,1041,41
10,,,1042,42
10,,,1043,43
10,,,1044,44
10,,,1045,45
10,,,1046,46
10,,,1047,47
10,,,1048,48
10,,,1049,49
10,,,1050,50
10,,,1051,51
10,,,1052,52
10,,,1053,53
10,,,1054,54
10,,,1055,55
10,,,1056,56
10,,,1057,57
10,,,1058,58
10,,,1059,59
10,,,1060,60
10,,,1061,61
10,,,1062,62
10,,,1063,63
10,,,1064,64
10,,,1065,65
10,,,1066,66
10,,,1067,67
10,,,1068,68
10,,,1069,69
10,,,1070,70
10,,,1071,71
10,,,1072,72
10,,,1073,73
10,,,1074,74
10,,,1075,75
10,,,1076,76
10,24:00:00,24:00:00,1077,77
11,07:00:00,08:00:00,1001,1
11,,,1002,2
11,,,1003,3
11,,,1004,4
11,,,1005,5
11,,,1006,6
11,,,1007,7
11,,,1008,8
11,,,1009,9
11,,,1010,10
11,,,1011,11
11,,,1012,12
11,,,1013,13
11,,,1014,14
11,,,1015,15
11,,,1016,16
11,,,1017,17
11,,,1018,18
11,,,1019,19
11,,,1020,20
11,,,1021,21
11,,,1022,22
11,,,1023,23
11,,,1024,24
11,,,1025,25
11,,,1026,26
11,,,1027,27
11,,,1028,28
11,,,1029,29
11,,,1030,30
11,,,1031,31
11,,,1032,32
11,,,1033,33
11,,,1034,34
11,,,1035,35
11,,,1036,36
11,,,1037,37
11,,,1038,38
11,,,1039,39
11,,,1040,40
11,,,1041,41
11,,,1042,42
11,,,1043,43
11,,,1044,44
11,,,1045,45
11,,,1046,46
11,,,1047,47
11,,,1048,48
11,,,1049,49
11,,,1050,50
11,,,1051,51
11,,,1052,52
11,,,1053,53
11,,,1054,54
11,,,1055,55
11,,,1056,56
11,,,1057,57
11,,,1058,58
11,,,1059,59
11,,,1060,60
11,,,1061,61
11,,,1062,62
11,,,1063,63
11,,,1064,64
11,,,1065,65
11,,,1066,66
11,,,1067,67
11,,,1068,68
11,,,1069,69
11,,,1070,70
11,,,1071,71
11,,,1072,72
11,,,1073,73
11,,,1074,74
11,,,1075,75
11,,,1076,76
11,24:00:00,24:00:00,1077,77
12,07:00:00,08:00:00,1001,1
12,,,1002,2
12,,,1003,3
12,,,1004,4
12,,,1005,5
12,,,1006,6
12,,,1007,7
