shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,25.795181,-80.20754,1
1,25.795189,-80.207137,2
1,25.795099,-80.207068,3
1,25.792950,-80.207030,4
1,25.791660,-80.207012,5
1,25.788420,-80.206960,6
1,25.783848,-80.206820,7
1,25.783732,-80.206797,8
1,25.783510,-80.206786,9
1,25.783454,-80.206703,10
1,25.783420,-80.206602,11
1,25.783660,-80.198200,12
1,25.783640,-80.198120,13
1,25.783580,-80.198090,14
1,25.782970,-80.198050,15
1,25.781860,-80.198010,16
1,25.781790,-80.198020,17
1,25.781760,-80.198070,18
1,25.781612,-80.202911,19
1,25.781576,-80.203010,20
1,25.781480,-80.203020,21
1,25.780250,-80.202970,22
1,25.779780,-80.202967,23
1,25.779718,-80.203000,24
1,25.779672,-80.203063,25
1,25.779570,-80.206420,26
1,25.779593,-80.206498,27
1,25.779649,-80.206533,28
1,25.780500,-80.206630,29
1,25.780991,-80.206664,30
1,25.781323,-80.206687,31
1,25.781490,-80.206740,32
1,25.781613,-80.206888,33
1,25.782190,-80.207340,34
1,25.782536,-80.207693,35
1,25.782913,-80.208135,36
1,25.783740,-80.209150,37
1,25.785200,-80.210706,38
1,25.785373,-80.210832,39
1,25.785579,-80.210907,40
1,25.787608,-80.210984,41
1,25.787985,-80.210968,42
1,25.788217,-80.210946,43
1,25.788384,-80.210900,44
1,25.788580,-80.210807,45
1,25.788770,-80.210676,46
1,25.789015,-80.210447,47
1,25.789244,-80.210275,48
1,25.789512,-80.210159,49
1,25.789728,-80.210110,50
1,25.789989,-80.210093,51
1,25.792267,-80.210176,52
1,25.792637,-80.210221,53
1,25.792844,-80.210288,54
1,25.793028,-80.210395,55
1,25.793250,-80.210570,56
1,25.793427,-80.210744,57
1,25.793611,-80.210874,58
1,25.793800,-80.210970,59
1,25.794000,-80.211010,60
1,25.794554,-80.211016,61
1,25.794979,-80.211032,62
1,25.795040,-80.211010,63
1,25.795060,-80.210940,64
1,25.795130,-80.208870,65
1,25.795181,-80.20754,66
2,25.78963,-80.18766,1
2,25.789607,-80.187966,2
2,25.789609,-80.188306,3
2,25.789592,-80.188938,4
2,25.789546,-80.189107,5
2,25.789429,-80.189168,6
2,25.788385,-80.189228,7
2,25.788330,-80.189238,8
2,25.788308,-80.189301,9
2,25.788290,-80.190390,10
2,25.788400,-80.190860,11
2,25.788410,-80.191113,12
2,25.788385,-80.191924,13
2,25.788260,-80.195897,14
2,25.788148,-80.199108,15
2,25.788121,-80.199819,16
2,25.788138,-80.199891,17
2,25.788187,-80.199924,18
2,25.789720,-80.199940,19
2,25.791659,-80.199992,20
2,25.792220,-80.200070,21
2,25.793465,-80.200274,22
2,25.794510,-80.200310,23
2,25.795250,-80.200310,24
2,25.795389,-80.200337,25
2,25.795470,-80.200380,26
2,25.795480,-80.200560,27
2,25.795460,-80.201760,28
2,25.795310,-80.206810,29
2,25.795292,-80.207757,30
2,25.795050,-80.215160,31
2,25.794920,-80.220450,32
2,25.794470,-80.235700,33
2,25.794420,-80.237920,34
2,25.794350,-80.239670,35
2,25.794379,-80.239712,36
2,25.794426,-80.239736,37
2,25.794800,-80.239749,38
2,25.796035,-80.239768,39
2,25.796090,-80.239741,40
2,25.796106,-80.239659,41
2,25.796160,-80.237630,42
2,25.796224,-80.235857,43
2,25.796216,-80.235757,44
2,25.796149,-80.235722,45
2,25.795698,-80.235717,46
2,25.794561,-80.235683,47
2,25.794412,-80.235652,48
2,25.794350,-80.235537,49
2,25.794429,-80.232934,50
2,25.794473,-80.231636,51
2,25.794671,-80.224596,52
2,25.794760,-80.221560,53
2,25.794932,-80.215399,54
2,25.794944,-80.214913,55
2,25.795061,-80.211221,56
2,25.795190,-80.207200,57
2,25.795240,-80.205730,58
2,25.795222,-80.205406,59
2,25.795247,-80.204749,60
2,25.795250,-80.204110,61
2,25.795330,-80.200540,62
2,25.795320,-80.200420,63
2,25.795289,-80.200387,64
2,25.795250,-80.200380,65
