trip_id,arrival_time,departure_time,stop_id,stop_sequence
2,06:30:00,06:30:00,737,0
2,,,738,1
2,,,739,2
2,,,740,3
2,,,741,4
2,,,742,5
2,,,743,6
2,,,744,7
2,,,745,8
2,,,746,9
2,,,747,10
2,,,748,11
2,,,749,12
2,,,750,13
2,,,751,14
2,,,752,15
2,,,753,16
2,,,754,17
2,,,755,18
2,,,756,19
2,,,757,20
2,,,758,21
2,,,759,22
2,,,760,23
2,,,761,24
2,,,762,25
2,,,763,26
2,,,764,27
2,,,765,28
2,,,766,29
2,,,767,30
2,,,768,31
2,,,769,32
2,,,770,33
2,,,771,34
2,,,772,35
2,,,773,36
2,,,774,37
2,,,775,38
2,,,776,39
2,,,777,40
2,,,778,41
2,,,779,42
2,,,780,43
2,,,781,44
2,,,735,45
2,,,736,46
2,,,710,47
2,,,782,48
2,,,783,49
2,,,784,50
2,,,785,51
2,,,786,52
2,,,787,53
2,,,788,54
2,,,789,55
2,,,790,56
2,,,791,57
2,,,792,58
2,,,793,59
2,19:00:00,19:00:00,794,60
6,06:30:00,06:30:00,836,0
6,,,837,1
6,,,871,2
6,,,872,3
6,,,867,4
6,,,868,5
6,,,869,6
6,,,1084,7
6,,,1086,8
6,,,873,9
6,,,874,10
6,,,875,11
6,,,876,12
6,,,877,13
6,,,878,14
6,,,879,15
6,,,880,16
6,,,881,17
6,,,882,18
6,,,883,19
6,,,884,20
6,,,885,21
6,,,886,22
6,,,887,23
6,,,888,24
6,,,889,25
6,,,890,26
6,,,891,27
6,,,892,28
6,,,893,29
6,,,894,30
6,,,895,31
6,,,896,32
6,,,897,33
6,,,898,34
6,,,899,35
6,,,900,36
6,,,901,37
6,,,902,38
6,,,903,39
6,,,904,40
6,,,905,41
6,,,906,42
6,,,907,43
6,,,908,44
6,,,909,45
6,,,910,46
6,,,911,47
6,,,912,48
6,,,737,49
6,,,738,50
6,,,913,51
6,,,914,52
6,,,915,53
6,,,916,54
6,,,917,55
6,,,918,56
6,,,919,57
6,,,920,58
6,,,921,59
6,,,922,60
6,,,923,61
6,,,924,62
6,,,1087,63
6,,,925,64
6,,,926,65
6,23:00:00,23:00:00,927,66
5,06:30:00,06:30:00,826,0
5,,,827,1
5,,,828,2
5,,,829,3
5,,,830,4
5,,,831,5
5,,,1085,6
5,,,832,7
5,,,833,8
5,,,834,9
5,,,835,10
5,,,836,11
5,,,837,12
5,,,1083,13
5,,,838,14
5,,,839,15
5,,,840,16
5,,,841,17
5,,,842,18
5,,,843,19
5,,,844,20
5,,,845,21
5,,,846,22
5,,,847,23
5,,,848,24
5,,,849,25
5,,,850,26
5,,,851,27
5,,,852,28
5,,,853,29
5,,,854,30
5,,,855,31
5,,,856,32
5,,,857,33
5,,,858,34
5,,,859,35
5,,,860,36
5,,,861,37
5,,,862,38
5,,,863,39
5,,,864,40
5,,,865,41
5,,,866,42
5,,,867,43
5,,,868,44
5,,,869,45
5,23:00:00,23:00:00,870,46
7,06:30:00,06:30:00,928,0
7,,,929,1
7,,,930,2
7,,,931,3
7,,,932,4
7,,,933,5
7,,,934,6
7,,,935,7
7,,,936,8
7,,,937,9
7,,,938,10
7,,,940,11
7,,,939,12
7,,,941,13
7,,,942,14
7,,,943,15
7,,,944,16
7,,,945,17
7,,,946,18
7,,,947,19
7,,,948,20
7,,,949,21
7,,,950,22
7,,,951,23
7,,,952,24
7,,,953,25
7,,,954,26
7,,,955,27
7,,,956,28
7,,,957,29
7,,,958,30
7,,,959,31
7,,,960,32
7,,,961,33
7,,,962,34
7,,,963,35
7,,,964,36
7,,,965,37
7,,,966,38
7,,,967,39
7,,,968,40
7,,,969,41
7,,,1046,42
7,,,1047,43
7,,,1048,44
7,,,1049,45
7,,,1050,46
7,,,1051,47
7,,,1052,48
7,,,1053,49
7,,,1054,50
7,,,1055,51
7,,,1056,52
7,,,1057,53
7,,,1058,54
7,,,1059,55
7,,,1060,56
7,,,1061,57
7,,,1062,58
7,,,1063,59
7,,,1064,60
7,,,1065,61
7,,,1066,62
7,,,1067,63
7,,,1068,64
7,,,1069,65
7,,,1070,66
7,,,1071,67
7,,,1072,68
7,,,1073,69
7,,,1074,70
7,,,1075,71
7,,,878,72
7,,,879,73
7,,,880,74
7,,,881,75
7,23:00:00,23:00:00,1082,76
3,06:30:00,06:30:00,710,0
3,,,711,1
3,,,795,2
3,,,796,3
3,,,797,4
3,,,798,5
3,,,799,6
3,,,800,7
