trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,7:05:00,7:05:00,AS1,1
1,7:06:00,7:06:00,AS2,2
1,7:08:00,7:08:00,AS3,3
1,7:09:00,7:09:00,AS4,4
1,7:10:00,7:10:00,AS5,5
1,7:11:00,7:11:00,AS6,6
1,7:15:00,7:15:00,AS7,7
1,7:16:00,7:16:00,AS8,8
1,7:18:00,7:18:00,AS9,9
1,7:20:00,7:20:00,AS10,10
1,7:22:00,7:22:00,AS11,11
1,7:24:00,7:24:00,AS12,12
1,7:25:00,7:25:00,AS13,13
1,7:28:00,7:28:00,AS14,14
1,7:30:00,7:30:00,AS15,15
1,7:33:00,7:33:00,AS16,16
1,7:34:00,7:34:00,AS17,17
1,7:35:00,7:35:00,AS18,18
1,7:38:00,7:38:00,AS19,19
1,7:40:00,7:40:00,AS20,20
1,7:42:00,7:42:00,AS21,21
1,7:44:00,7:44:00,AS22,22
1,7:45:00,7:45:00,AS23,23
1,7:48:00,7:48:00,AS24,24
1,7:50:00,7:50:00,AS25,25
1,7:52:00,7:52:00,AS26,26
1,7:54:00,7:54:00,AS27,27
1,7:56:00,7:56:00,AS28,28
1,8:05:00,8:05:00,AS1,1
1,8:06:00,8:06:00,AS2,2
1,8:08:00,8:08:00,AS3,3
1,8:09:00,8:09:00,AS4,4
1,8:10:00,8:10:00,AS5,5
1,8:11:00,8:11:00,AS6,6
1,8:15:00,8:15:00,AS7,7
1,8:16:00,8:16:00,AS8,8
1,8:18:00,8:18:00,AS9,9
1,8:20:00,8:20:00,AS10,10
1,8:22:00,8:22:00,AS11,11
1,8:24:00,8:24:00,AS12,12
1,8:25:00,8:25:00,AS13,13
1,8:28:00,8:28:00,AS14,14
1,8:30:00,8:30:00,AS15,15
1,8:33:00,8:33:00,AS16,16
1,8:34:00,8:34:00,AS17,17
1,8:35:00,8:35:00,AS18,18
1,8:38:00,8:38:00,AS19,19
1,8:40:00,8:40:00,AS20,20
1,8:42:00,8:42:00,AS21,21
1,8:44:00,8:44:00,AS22,22
1,8:45:00,8:45:00,AS23,23
1,8:48:00,8:48:00,AS24,24
1,8:50:00,8:50:00,AS25,25
1,8:52:00,8:52:00,AS26,26
1,8:54:00,8:54:00,AS27,27
1,8:56:00,8:56:00,AS28,28
1,9:05:00,9:05:00,AS1,1
1,9:06:00,9:06:00,AS2,2
1,9:08:00,9:08:00,AS3,3
1,9:09:00,9:09:00,AS4,4
1,9:10:00,9:10:00,AS5,5
1,9:11:00,9:11:00,AS6,6
1,9:15:00,9:15:00,AS7,7
1,9:16:00,9:16:00,AS8,8
1,9:18:00,9:18:00,AS9,9
1,9:20:00,9:20:00,AS10,10
1,9:22:00,9:22:00,AS11,11
1,9:24:00,9:24:00,AS12,12
1,9:25:00,9:25:00,AS13,13
1,9:28:00,9:28:00,AS14,14
1,9:30:00,9:30:00,AS15,15
1,9:33:00,9:33:00,AS16,16
1,9:34:00,9:34:00,AS17,17
1,9:35:00,9:35:00,AS18,18
1,9:38:00,9:38:00,AS19,19
1,9:40:00,9:40:00,AS20,20
1,9:42:00,9:42:00,AS21,21
1,9:44:00,9:44:00,AS22,22
1,9:45:00,9:45:00,AS23,23
1,9:48:00,9:48:00,AS24,24
1,9:50:00,9:50:00,AS25,25
1,9:52:00,9:52:00,AS26,26
1,9:54:00,9:54:00,AS27,27
1,9:56:00,9:56:00,AS28,28
1,10:05:00,10:05:00,AS1,1
1,10:06:00,10:06:00,AS2,2
1,10:08:00,10:08:00,AS3,3
1,10:09:00,10:09:00,AS4,4
1,10:10:00,10:10:00,AS5,5
1,10:11:00,10:11:00,AS6,6
1,10:15:00,10:15:00,AS7,7
1,10:16:00,10:16:00,AS8,8
1,10:18:00,10:18:00,AS9,9
1,10:20:00,10:20:00,AS10,10
1,10:22:00,10:22:00,AS11,11
1,10:24:00,10:24:00,AS12,12
1,10:25:00,10:25:00,AS13,13
1,10:28:00,10:28:00,AS14,14
1,10:30:00,10:30:00,AS15,15
1,10:33:00,10:33:00,AS16,16
1,10:34:00,10:34:00,AS17,17
1,10:35:00,10:35:00,AS18,18
1,10:38:00,10:38:00,AS19,19
1,10:40:00,10:40:00,AS20,20
1,10:42:00,10:42:00,AS21,21
1,10:44:00,10:44:00,AS22,22
1,10:45:00,10:45:00,AS23,23
1,10:48:00,10:48:00,AS24,24
1,10:50:00,10:50:00,AS25,25
1,10:52:00,10:52:00,AS26,26
1,10:54:00,10:54:00,AS27,27
1,10:56:00,10:56:00,AS28,28
1,11:05:00,11:05:00,AS1,1
1,11:06:00,11:06:00,AS2,2
1,11:08:00,11:08:00,AS3,3
1,11:09:00,11:09:00,AS4,4
1,11:10:00,11:10:00,AS5,5
1,11:11:00,11:11:00,AS6,6
1,11:15:00,11:15:00,AS7,7
1,11:16:00,11:16:00,AS8,8
1,11:18:00,11:18:00,AS9,9
1,11:20:00,11:20:00,AS10,10
1,11:22:00,11:22:00,AS11,11
1,11:24:00,11:24:00,AS12,12
1,11:25:00,11:25:00,AS13,13
1,11:28:00,11:28:00,AS14,14
1,11:30:00,11:30:00,AS15,15
1,11:33:00,11:33:00,AS16,16
1,11:34:00,11:34:00,AS17,17
1,11:35:00,11:35:00,AS18,18
1,11:38:00,11:38:00,AS19,19
1,11:40:00,11:40:00,AS20,20
1,11:42:00,11:42:00,AS21,21
1,11:44:00,11:44:00,AS22,22
1,11:45:00,11:45:00,AS23,23
1,11:48:00,11:48:00,AS24,24
1,11:50:00,11:50:00,AS25,25
1,11:52:00,11:52:00,AS26,26
1,11:54:00,11:54:00,AS27,27
1,11:56:00,11:56:00,AS28,28
1,12:05:00,12:05:00,AS1,1
1,12:06:00,12:06:00,AS2,2
1,12:08:00,12:08:00,AS3,3
1,12:09:00,12:09:00,AS4,4
1,12:10:00,12:10:00,AS5,5
1,12:11:00,12:11:00,AS6,6
1,12:15:00,12:15:00,AS7,7
1,12:16:00,12:16:00,AS8,8
1,12:18:00,12:18:00,AS9,9
1,12:20:00,12:20:00,AS10,10
1,12:22:00,12:22:00,AS11,11
1,12:24:00,12:24:00,AS12,12
1,12:25:00,12:25:00,AS13,13
1,12:28:00,12:28:00,AS14,14
1,12:30:00,12:30:00,AS15,15
1,12:33:00,12:33:00,AS16,16
1,12:34:00,12:34:00,AS17,17
1,12:35:00,12:35:00,AS18,18
1,12:38:00,12:38:00,AS19,19
1,12:40:00,12:40:00,AS20,20
1,12:42:00,12:42:00,AS21,21
1,12:44:00,12:44:00,AS22,22
1,12:45:00,12:45:00,AS23,23
1,12:48:00,12:48:00,AS24,24
1,12:50:00,12:50:00,AS25,25
1,12:52:00,12:52:00,AS26,26
1,12:54:00,12:54:00,AS27,27
1,12:56:00,12:56:00,AS28,28
1,13:05:00,13:05:00,AS1,1
1,13:06:00,13:06:00,AS2,2
1,13:08:00,13:08:00,AS3,3
1,13:09:00,13:09:00,AS4,4
1,13:10:00,13:10:00,AS5,5
1,13:11:00,13:11:00,AS6,6
1,13:15:00,13:15:00,AS7,7
1,13:16:00,13:16:00,AS8,8
1,13:18:00,13:18:00,AS9,9
1,13:20:00,13:20:00,AS10,10
1,13:22:00,13:22:00,AS11,11
1,13:24:00,13:24:00,AS12,12
1,13:25:00,13:25:00,AS13,13
1,13:28:00,13:28:00,AS14,14
1,13:30:00,13:30:00,AS15,15
1,13:33:00,13:33:00,AS16,16
1,13:34:00,13:34:00,AS17,17
1,13:35:00,13:35:00,AS18,18
1,13:38:00,13:38:00,AS19,19
1,13:40:00,13:40:00,AS20,20
1,13:42:00,13:42:00,AS21,21
1,13:44:00,13:44:00,AS22,22
1,13:45:00,13:45:00,AS23,23
1,13:48:00,13:48:00,AS24,24
1,13:50:00,13:50:00,AS25,25
1,13:52:00,13:52:00,AS26,26
1,13:54:00,13:54:00,AS27,27
1,13:56:00,13:56:00,AS28,28
1,14:05:00,14:05:00,AS1,1
1,14:06:00,14:06:00,AS2,2
1,14:08:00,14:08:00,AS3,3
1,14:09:00,14:09:00,AS4,4
1,14:10:00,14:10:00,AS5,5
1,14:11:00,14:11:00,AS6,6
1,14:15:00,14:15:00,AS7,7
1,14:16:00,14:16:00,AS8,8
1,14:18:00,14:18:00,AS9,9
1,14:20:00,14:20:00,AS10,10
1,14:22:00,14:22:00,AS11,11
1,14:24:00,14:24:00,AS12,12
1,14:25:00,14:25:00,AS13,13
1,14:28:00,14:28:00,AS14,14
1,14:30:00,14:30:00,AS15,15
1,14:33:00,14:33:00,AS16,16
1,14:34:00,14:34:00,AS17,17
1,14:35:00,14:35:00,AS18,18
1,14:38:00,14:38:00,AS19,19
1,14:40:00,14:40:00,AS20,20
1,14:42:00,14:42:00,AS21,21
1,14:44:00,14:44:00,AS22,22
1,14:45:00,14:45:00,AS23,23
1,14:48:00,14:48:00,AS24,24
1,14:50:00,14:50:00,AS25,25
1,14:52:00,14:52:00,AS26,26
1,14:54:00,14:54:00,AS27,27
1,14:56:00,14:56:00,AS28,28
1,15:05:00,15:05:00,AS1,1
1,15:06:00,15:06:00,AS2,2
1,15:08:00,15:08:00,AS3,3
1,15:09:00,15:09:00,AS4,4
1,15:10:00,15:10:00,AS5,5
1,15:11:00,15:11:00,AS6,6
1,15:15:00,15:15:00,AS7,7
1,15:16:00,15:16:00,AS8,8
1,15:18:00,15:18:00,AS9,9
1,15:20:00,15:20:00,AS10,10
1,15:22:00,15:22:00,AS11,11
1,15:24:00,15:24:00,AS12,12
1,15:25:00,15:25:00,AS13,13
1,15:28:00,15:28:00,AS14,14
1,15:30:00,15:30:00,AS15,15
1,15:33:00,15:33:00,AS16,16
1,15:34:00,15:34:00,AS17,17
1,15:35:00,15:35:00,AS18,18
1,15:38:00,15:38:00,AS19,19
1,15:40:00,15:40:00,AS20,20
1,15:42:00,15:42:00,AS21,21
1,15:44:00,15:44:00,AS22,22
1,15:45:00,15:45:00,AS23,23
1,15:48:00,15:48:00,AS24,24
1,15:50:00,15:50:00,AS25,25
1,15:52:00,15:52:00,AS26,26
1,15:54:00,15:54:00,AS27,27
1,15:56:00,15:56:00,AS28,28
1,16:05:00,16:05:00,AS1,1
1,16:06:00,16:06:00,AS2,2
1,16:08:00,16:08:00,AS3,3
1,16:09:00,16:09:00,AS4,4
1,16:10:00,16:10:00,AS5,5
1,16:11:00,16:11:00,AS6,6
1,16:15:00,16:15:00,AS7,7
1,16:16:00,16:16:00,AS8,8
1,16:18:00,16:18:00,AS9,9
1,16:20:00,16:20:00,AS10,10
1,16:22:00,16:22:00,AS11,11
1,16:24:00,16:24:00,AS12,12
1,16:25:00,16:25:00,AS13,13
1,16:28:00,16:28:00,AS14,14
1,16:30:00,16:30:00,AS15,15
1,16:33:00,16:33:00,AS16,16
1,16:34:00,16:34:00,AS17,17
1,16:35:00,16:35:00,AS18,18
1,16:38:00,16:38:00,AS19,19
1,16:40:00,16:40:00,AS20,20
1,16:42:00,16:42:00,AS21,21
1,16:44:00,16:44:00,AS22,22
1,16:45:00,16:45:00,AS23,23
1,16:48:00,16:48:00,AS24,24
1,16:50:00,16:50:00,AS25,25
1,16:52:00,16:52:00,AS26,26
1,16:54:00,16:54:00,AS27,27
1,16:56:00,16:56:00,AS28,28
1,17:05:00,17:05:00,AS1,1
1,17:06:00,17:06:00,AS2,2
1,17:08:00,17:08:00,AS3,3
1,17:09:00,17:09:00,AS4,4
1,17:10:00,17:10:00,AS5,5
1,17:11:00,17:11:00,AS6,6
1,17:15:00,17:15:00,AS7,7
1,17:16:00,17:16:00,AS8,8
1,17:18:00,17:18:00,AS9,9
1,17:20:00,17:20:00,AS10,10
1,17:22:00,17:22:00,AS11,11
1,17:24:00,17:24:00,AS12,12
1,17:25:00,17:25:00,AS13,13
1,17:28:00,17:28:00,AS14,14
1,17:30:00,17:30:00,AS15,15
1,17:33:00,17:33:00,AS16,16
1,17:34:00,17:34:00,AS17,17
1,17:35:00,17:35:00,AS18,18
1,17:38:00,17:38:00,AS19,19
1,17:40:00,17:40:00,AS20,20
1,17:42:00,17:42:00,AS21,21
1,17:44:00,17:44:00,AS22,22
1,17:45:00,17:45:00,AS23,23
1,17:48:00,17:48:00,AS24,24
1,17:50:00,17:50:00,AS25,25
1,17:52:00,17:52:00,AS26,26
1,17:54:00,17:54:00,AS27,27
1,17:56:00,17:56:00,AS28,28
1,18:05:00,18:05:00,AS1,1
1,18:06:00,18:06:00,AS2,2
1,18:08:00,18:08:00,AS3,3
1,18:09:00,18:09:00,AS4,4
1,18:10:00,18:10:00,AS5,5
1,18:11:00,18:11:00,AS6,6
1,18:15:00,18:15:00,AS7,7
1,18:16:00,18:16:00,AS8,8
1,18:18:00,18:18:00,AS9,9
1,18:20:00,18:20:00,AS10,10
1,18:22:00,18:22:00,AS11,11
1,18:24:00,18:24:00,AS12,12
1,18:25:00,18:25:00,AS13,13
1,18:28:00,18:28:00,AS14,14
1,18:30:00,18:30:00,AS15,15
1,18:33:00,18:33:00,AS16,16
1,18:34:00,18:34:00,AS17,17
1,18:35:00,18:35:00,AS18,18
1,18:38:00,18:38:00,AS19,19
1,18:40:00,18:40:00,AS20,20
1,18:42:00,18:42:00,AS21,21
1,18:44:00,18:44:00,AS22,22
1,18:45:00,18:45:00,AS23,23
1,18:48:00,18:48:00,AS24,24
1,18:50:00,18:50:00,AS25,25
1,18:52:00,18:52:00,AS26,26
1,18:54:00,18:54:00,AS27,27
1,18:56:00,18:56:00,AS28,28
1,19:05:00,19:05:00,AS1,1
1,19:06:00,19:06:00,AS2,2
1,19:08:00,19:08:00,AS3,3
1,19:09:00,19:09:00,AS4,4
1,19:10:00,19:10:00,AS5,5
1,19:11:00,19:11:00,AS6,6
1,19:15:00,19:15:00,AS7,7
1,19:16:00,19:16:00,AS8,8
1,19:18:00,19:18:00,AS9,9
1,19:20:00,19:20:00,AS10,10
1,19:22:00,19:22:00,AS11,11
1,19:24:00,19:24:00,AS12,12
1,19:25:00,19:25:00,AS13,13
1,19:28:00,19:28:00,AS14,14
1,19:30:00,19:30:00,AS15,15
1,19:33:00,19:33:00,AS16,16
1,19:34:00,19:34:00,AS17,17
1,19:35:00,19:35:00,AS18,18
1,19:38:00,19:38:00,AS19,19
1,19:40:00,19:40:00,AS20,20
1,19:42:00,19:42:00,AS21,21
1,19:44:00,19:44:00,AS22,22
1,19:45:00,19:45:00,AS23,23
1,19:48:00,19:48:00,AS24,24
1,19:50:00,19:50:00,AS25,25
1,19:52:00,19:52:00,AS26,26
1,19:54:00,19:54:00,AS27,27
1,19:56:00,19:56:00,AS28,28
1,7:05:00,7:05:00,BS1,1
1,7:07:00,7:07:00,BS2,2
1,7:09:00,7:09:00,BS3,3
1,7:10:00,7:10:00,BS4,4
1,7:12:00,7:12:00,BS5,5
1,7:13:00,7:13:00,BS6,6
1,7:14:00,7:14:00,BS7,7
1,7:16:00,7:16:00,BS8,8
1,7:18:00,7:18:00,BS9,9
1,7:20:00,7:20:00,BS10,10
1,7:22:00,7:22:00,BS11,11
1,7:24:00,7:24:00,BS12,12
1,7:26:00,7:26:00,BS13,13
1,7:28:00,7:28:00,BS14,14
1,7:30:00,7:30:00,BS15,15
1,7:31:00,7:31:00,BS16,16
1,7:32:00,7:32:00,BS17,17
1,7:34:00,7:34:00,BS18,18
1,7:35:00,7:35:00,BS19,19
1,7:38:00,7:38:00,BS20,20
1,7:40:00,7:40:00,BS21,21
1,7:44:00,7:44:00,BS22,22
1,7:45:00,7:45:00,BS23,23
1,7:47:00,7:47:00,BS24,24
1,7:49:00,7:49:00,BS25,25
1,7:51:00,7:51:00,BS26,26
1,7:53:00,7:53:00,BS27,27
1,7:55:00,7:55:00,BS28,28
1,8:05:00,8:05:00,BS1,1
1,8:07:00,8:07:00,BS2,2
1,8:09:00,8:09:00,BS3,3
1,8:10:00,8:10:00,BS4,4
1,8:12:00,8:12:00,BS5,5
1,8:13:00,8:13:00,BS6,6
1,8:14:00,8:14:00,BS7,7
1,8:16:00,8:16:00,BS8,8
1,8:18:00,8:18:00,BS9,9
1,8:20:00,8:20:00,BS10,10
1,8:22:00,8:22:00,BS11,11
1,8:24:00,8:24:00,BS12,12
1,8:26:00,8:26:00,BS13,13
1,8:28:00,8:28:00,BS14,14
1,8:30:00,8:30:00,BS15,15
1,8:31:00,8:31:00,BS16,16
1,8:32:00,8:32:00,BS17,17
1,8:34:00,8:34:00,BS18,18
1,8:35:00,8:35:00,BS19,19
1,8:38:00,8:38:00,BS20,20
1,8:40:00,8:40:00,BS21,21
1,8:44:00,8:44:00,BS22,22
1,8:45:00,8:45:00,BS23,23
1,8:47:00,8:47:00,BS24,24
1,8:49:00,8:49:00,BS25,25
1,8:51:00,8:51:00,BS26,26
1,8:53:00,8:53:00,BS27,27
1,8:55:00,8:55:00,BS28,28
1,9:05:00,9:05:00,BS1,1
1,9:07:00,9:07:00,BS2,2
1,9:09:00,9:09:00,BS3,3
1,9:10:00,9:10:00,BS4,4
1,9:12:00,9:12:00,BS5,5
1,9:13:00,9:13:00,BS6,6
1,9:14:00,9:14:00,BS7,7
1,9:16:00,9:16:00,BS8,8
1,9:18:00,9:18:00,BS9,9
1,9:20:00,9:20:00,BS10,10
1,9:22:00,9:22:00,BS11,11
1,9:24:00,9:24:00,BS12,12
1,9:26:00,9:26:00,BS13,13
1,9:28:00,9:28:00,BS14,14
1,9:30:00,9:30:00,BS15,15
1,9:31:00,9:31:00,BS16,16
1,9:32:00,9:32:00,BS17,17
1,9:34:00,9:34:00,BS18,18
1,9:35:00,9:35:00,BS19,19
1,9:38:00,9:38:00,BS20,20
1,9:40:00,9:40:00,BS21,21
1,9:44:00,9:44:00,BS22,22
1,9:45:00,9:45:00,BS23,23
1,9:47:00,9:47:00,BS24,24
1,9:49:00,9:49:00,BS25,25
1,9:51:00,9:51:00,BS26,26
1,9:53:00,9:53:00,BS27,27
1,9:55:00,9:55:00,BS28,28
1,10:05:00,10:05:00,BS1,1
1,10:07:00,10:07:00,BS2,2
1,10:09:00,10:09:00,BS3,3
1,10:10:00,10:10:00,BS4,4
1,10:12:00,10:12:00,BS5,5
1,10:13:00,10:13:00,BS6,6
1,10:14:00,10:14:00,BS7,7
1,10:16:00,10:16:00,BS8,8
1,10:18:00,10:18:00,BS9,9
1,10:20:00,10:20:00,BS10,10
1,10:22:00,10:22:00,BS11,11
1,10:24:00,10:24:00,BS12,12
1,10:26:00,10:26:00,BS13,13
1,10:28:00,10:28:00,BS14,14
1,10:30:00,10:30:00,BS15,15
1,10:31:00,10:31:00,BS16,16
1,10:32:00,10:32:00,BS17,17
1,10:34:00,10:34:00,BS18,18
1,10:35:00,10:35:00,BS19,19
1,10:38:00,10:38:00,BS20,20
1,10:40:00,10:40:00,BS21,21
1,10:44:00,10:44:00,BS22,22
1,10:45:00,10:45:00,BS23,23
1,10:47:00,10:47:00,BS24,24
1,10:49:00,10:49:00,BS25,25
1,10:51:00,10:51:00,BS26,26
1,10:53:00,10:53:00,BS27,27
1,10:55:00,10:55:00,BS28,28
1,11:05:00,11:05:00,BS1,1
1,11:07:00,11:07:00,BS2,2
1,11:09:00,11:09:00,BS3,3
1,11:10:00,11:10:00,BS4,4
1,11:12:00,11:12:00,BS5,5
1,11:13:00,11:13:00,BS6,6
1,11:14:00,11:14:00,BS7,7
1,11:16:00,11:16:00,BS8,8
1,11:18:00,11:18:00,BS9,9
1,11:20:00,11:20:00,BS10,10
1,11:22:00,11:22:00,BS11,11
1,11:24:00,11:24:00,BS12,12
1,11:26:00,11:26:00,BS13,13
1,11:28:00,11:28:00,BS14,14
1,11:30:00,11:30:00,BS15,15
1,11:31:00,11:31:00,BS16,16
1,11:32:00,11:32:00,BS17,17
1,11:34:00,11:34:00,BS18,18
1,11:35:00,11:35:00,BS19,19
1,11:38:00,11:38:00,BS20,20
1,11:40:00,11:40:00,BS21,21
1,11:44:00,11:44:00,BS22,22
1,11:45:00,11:45:00,BS23,23
1,11:47:00,11:47:00,BS24,24
1,11:49:00,11:49:00,BS25,25
1,11:51:00,11:51:00,BS26,26
1,11:53:00,11:53:00,BS27,27
1,11:55:00,11:55:00,BS28,28
1,12:05:00,12:05:00,BS1,1
1,12:07:00,12:07:00,BS2,2
1,12:09:00,12:09:00,BS3,3
1,12:10:00,12:10:00,BS4,4
1,12:12:00,12:12:00,BS5,5
1,12:13:00,12:13:00,BS6,6
1,12:14:00,12:14:00,BS7,7
1,12:16:00,12:16:00,BS8,8
1,12:18:00,12:18:00,BS9,9
1,12:20:00,12:20:00,BS10,10
1,12:22:00,12:22:00,BS11,11
1,12:24:00,12:24:00,BS12,12
1,12:26:00,12:26:00,BS13,13
1,12:28:00,12:28:00,BS14,14
1,12:30:00,12:30:00,BS15,15
1,12:31:00,12:31:00,BS16,16
1,12:32:00,12:32:00,BS17,17
1,12:34:00,12:34:00,BS18,18
1,12:35:00,12:35:00,BS19,19
1,12:38:00,12:38:00,BS20,20
1,12:40:00,12:40:00,BS21,21
1,12:44:00,12:44:00,BS22,22
1,12:45:00,12:45:00,BS23,23
1,12:47:00,12:47:00,BS24,24
1,12:49:00,12:49:00,BS25,25
1,12:51:00,12:51:00,BS26,26
1,12:53:00,12:53:00,BS27,27
1,12:55:00,12:55:00,BS28,28
1,13:05:00,13:05:00,BS1,1
1,13:07:00,13:07:00,BS2,2
1,13:09:00,13:09:00,BS3,3
1,13:10:00,13:10:00,BS4,4
1,13:12:00,13:12:00,BS5,5
1,13:13:00,13:13:00,BS6,6
1,13:14:00,13:14:00,BS7,7
1,13:16:00,13:16:00,BS8,8
1,13:18:00,13:18:00,BS9,9
1,13:20:00,13:20:00,BS10,10
1,13:22:00,13:22:00,BS11,11
1,13:24:00,13:24:00,BS12,12
1,13:26:00,13:26:00,BS13,13
1,13:28:00,13:28:00,BS14,14
1,13:30:00,13:30:00,BS15,15
1,13:31:00,13:31:00,BS16,16
1,13:32:00,13:32:00,BS17,17
1,13:34:00,13:34:00,BS18,18
1,13:35:00,13:35:00,BS19,19
1,13:38:00,13:38:00,BS20,20
1,13:40:00,13:40:00,BS21,21
1,13:44:00,13:44:00,BS22,22
1,13:45:00,13:45:00,BS23,23
1,13:47:00,13:47:00,BS24,24
1,13:49:00,13:49:00,BS25,25
1,13:51:00,13:51:00,BS26,26
1,13:53:00,13:53:00,BS27,27
1,13:55:00,13:55:00,BS28,28
1,14:05:00,14:05:00,BS1,1
1,14:07:00,14:07:00,BS2,2
1,14:09:00,14:09:00,BS3,3
1,14:10:00,14:10:00,BS4,4
1,14:12:00,14:12:00,BS5,5
1,14:13:00,14:13:00,BS6,6
1,14:14:00,14:14:00,BS7,7
1,14:16:00,14:16:00,BS8,8
1,14:18:00,14:18:00,BS9,9
1,14:20:00,14:20:00,BS10,10
1,14:22:00,14:22:00,BS11,11
1,14:24:00,14:24:00,BS12,12
1,14:26:00,14:26:00,BS13,13
1,14:28:00,14:28:00,BS14,14
